"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_191900_000";1.6;1.7;9.0;"noise";0.8;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_191900_000";0.1;1.7;8.0;"piaf";0.22;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_193951_323";"0.0";0.4;35.0;"noise";0.75;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_194902_000";0.3;1.8;11.0;"noise";0.58;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_201501_147";0.1;5.0;27.0;"noise";0.79;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_201501_147";"0.0";4.6;10.0;"piaf";0.24;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_201506_147";0.2;4.5;22.0;"noise";0.79;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_201511_147";0.7;4.9;22.0;"noise";0.93;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_201516_147";"0.0";2.0;16.0;"noise";0.95;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_201904_000";0.4;2.0;11.0;"noise";0.83;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_204904_000";0.6;2.1;16.0;"noise";0.92;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_210813_731";"0.0";5.0;55.0;"Myomys";0.84;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_210813_731";0.5;3.4;11.0;"noise";0.23;"Tetvir";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_210818_731";"0.0";0.3;49.0;"Myomys";0.16;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_210818_731";0.4;0.6;12.0;"noise";0.84;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_210818_731";0.4;0.5;12.0;"Phogri";0.25;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_211013_115";"0.0";1.1;28.0;"noise";0.78;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_211425_281";1.0;3.6;10.0;"noise";0.85;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_211425_281";1.1;3.6;10.0;"piaf";0.08;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_211425_281";"0.0";3.4;43.0;"Pipkuh";0.96;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_211904_000";"0.0";3.0;9.0;"noise";0.93;"";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_212032_867";"0.0";0.1;15.0;"Phogri";0.11;"noise";"";"";"";""
"Car440400-2015-Pass1-Z4-E-EA252-017232_0_20150922_212032_867";"0.0";3.9;47.0;"Pippip";0.99;"";"";"";"";""
